序号	流水号	项    目    名    称	起止时间	资助经费(万元)	下  达  部  门	
250	TM2008-14	土工格栅加筋土路堤力学行为与设计方法研究	2008-2010	5.00	校人才基金	
251	TM2008-15	软土地区深基坑施工变形的时间特性研究	2008-2010	5.00	校人才基金	
252	TM2008-16	山岭隧道长期形变的机理研究及预测方法	2008-2011	8.00	校人才基金	
253	TM2008-17	有初应力的钢管混凝土单圆管拱的极限承载力研究	2008-2010	5.00	校人才基金	
254	TM2008-18	FRP加固钢筋混凝土梁界面力学性能研究	2008-2010	5.00	校人才基金	
255	TM2008-19	新型轻钢龙骨自承重保温墙体的性能与设计	2008-2011	6.00	校人才基金	
256	TM2008-20	ASBR的生物反应特性及颗粒污泥的形成机制研究	2009-2011	5.00	校人才基金	
257	TM2008-21	斜拉桥上斜拉索的控制减振机理和关键技术 	2008-2010	4.50	科技三项	
258	TM2008-22	新型钢-混凝土混合结构抗震性能及应用关键技术研究	2008-2011	12.00	霍英东教育基金会	
259	TM2008-23	大型结构健康监测与可靠性评定的关键技术研究	2008-2009	2.00	教育部重点项目	
